id,album_id,library,folder,action,proposed_value,confidence,risk,reason,approval
ACT-000085,ALB-92E78BDC,CONTEMPORARY,/data/Music/CONTEMPORARY/Bonnie Tyler/Faster Than The Speed of Night,ADD_ALBUMARTIST,Bonnie Tyler,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000086,ALB-0A1262FB,CONTEMPORARY,/data/Music/CONTEMPORARY/Bourvil/Guinguette,ADD_ALBUMARTIST,Bourvil,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000087,ALB-A041917C,CONTEMPORARY,/data/Music/CONTEMPORARY/Britney Spears/BBTop100,ADD_ALBUMARTIST,Britney Spears,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000088,ALB-93AC275D,CONTEMPORARY,/data/Music/CONTEMPORARY/Britney Spears/Billboard Top 100 of 2004,ADD_ALBUMARTIST,Britney Spears,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000089,ALB-1CF86BB8,CONTEMPORARY,/data/Music/CONTEMPORARY/Britney Spears/Now53 CD1,ADD_ALBUMARTIST,Britney Spears,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000090,ALB-E055B58F,CONTEMPORARY,/data/Music/CONTEMPORARY/Bros/1988,ADD_ALBUMARTIST,Bros,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000091,ALB-60CF9DD9,CONTEMPORARY,/data/Music/CONTEMPORARY/Bruce Springsteen/1980,ADD_ALBUMARTIST,Bruce Springsteen,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000092,ALB-9DEF47D4,CONTEMPORARY,/data/Music/CONTEMPORARY/Bruce Springsteen/1985,ADD_ALBUMARTIST,Bruce Springsteen,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000093,ALB-7A99C7D4,CONTEMPORARY,/data/Music/CONTEMPORARY/Bruce Springsteen/1987,ADD_ALBUMARTIST,Bruce Springsteen,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000094,ALB-BB6DF6B6,CONTEMPORARY,/data/Music/CONTEMPORARY/Bruce Springsteen/1988,ADD_ALBUMARTIST,Bruce Springsteen,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000095,ALB-9D0148DB,CONTEMPORARY,/data/Music/CONTEMPORARY/Bruce Springsteen/Billboard Top 100 of 1981,ADD_ALBUMARTIST,Bruce Springsteen,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000096,ALB-8FB3BB2D,CONTEMPORARY,/data/Music/CONTEMPORARY/Bruce Springsteen/Billboard Top 100 of 1984,ADD_ALBUMARTIST,Bruce Springsteen,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000097,ALB-415E45BA,CONTEMPORARY,/data/Music/CONTEMPORARY/Bruce Springsteen/Billboard Top 100 of 1985,ADD_ALBUMARTIST,Bruce Springsteen,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000098,ALB-553DDEBD,CONTEMPORARY,/data/Music/CONTEMPORARY/Bruce Springsteen/Billboard Top 100 of 1987,ADD_ALBUMARTIST,Bruce Springsteen,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000099,ALB-6367CD7A,CONTEMPORARY,/data/Music/CONTEMPORARY/Bruce Springsteen/Live in New York City CD1,ADD_ALBUMARTIST,Bruce Springsteen,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000100,ALB-812D0DFF,CONTEMPORARY,/data/Music/CONTEMPORARY/Bruce Springsteen/We Shall Overcome_ The Seeger Sessions,ADD_ALBUMARTIST,Bruce Springsteen,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000101,ALB-41F4BE88,CONTEMPORARY,/data/Music/CONTEMPORARY/Bruce Springteen/Born In The U.S.A_,ADD_ALBUMARTIST,Bruce Springteen,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000102,ALB-24894BC7,CONTEMPORARY,/data/Music/CONTEMPORARY/Bruce Springteen/Born To Run,ADD_ALBUMARTIST,Bruce Springteen,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000103,ALB-C284C9C4,CONTEMPORARY,/data/Music/CONTEMPORARY/Bruce Springteen/Darkness On The Edge Of Town,ADD_ALBUMARTIST,Bruce Springteen,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000104,ALB-EBC89C23,CONTEMPORARY,/data/Music/CONTEMPORARY/Bruce Springteen/Human Touch,ADD_ALBUMARTIST,Bruce Springteen,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000105,ALB-169AA598,CONTEMPORARY,/data/Music/CONTEMPORARY/Bruce Springteen/Lucky Town,ADD_ALBUMARTIST,Bruce Springteen,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000106,ALB-089C0810,CONTEMPORARY,/data/Music/CONTEMPORARY/Bruce Springteen/Nebraska,ADD_ALBUMARTIST,Bruce Springteen,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000107,ALB-03A9DE77,CONTEMPORARY,/data/Music/CONTEMPORARY/Bruce Springteen/The River,ADD_ALBUMARTIST,Bruce Springteen,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000108,ALB-014C6504,CONTEMPORARY,/data/Music/CONTEMPORARY/Bruce Springteen/Tunnel Of Love,ADD_ALBUMARTIST,Bruce Springteen,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000109,ALB-BB8FEA60,CONTEMPORARY,/data/Music/CONTEMPORARY/Bruce Willis/Billboard Top 100 of 1987,ADD_ALBUMARTIST,Bruce Willis,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000110,ALB-3123A311,CONTEMPORARY,/data/Music/CONTEMPORARY/Bruce Willis/The Return Of Bruno,ADD_ALBUMARTIST,Bruce Willis,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000111,ALB-64FA39F6,CONTEMPORARY,/data/Music/CONTEMPORARY/Bruno Mars/Doo-Wops & Hooligans,ADD_ALBUMARTIST,Bruno Mars,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000112,ALB-1B5219E3,CONTEMPORARY,/data/Music/CONTEMPORARY/Bruno Mars/It Will Rain,ADD_ALBUMARTIST,Bruno Mars,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000113,ALB-E8CAAC9D,CONTEMPORARY,/data/Music/CONTEMPORARY/Bryan Adams/1991 Top 100,ADD_ALBUMARTIST,Bryan Adams,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000114,ALB-463F4333,CONTEMPORARY,/data/Music/CONTEMPORARY/Bryan Adams/Billboard Top 100 of 1983,ADD_ALBUMARTIST,Bryan Adams,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000115,ALB-1783FF18,CONTEMPORARY,/data/Music/CONTEMPORARY/Bryan Adams/Billboard Top 100 of 1985,ADD_ALBUMARTIST,Bryan Adams,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000116,ALB-5B353198,CONTEMPORARY,/data/Music/CONTEMPORARY/Bryan Adams/Billboard Top 100 of 1987,ADD_ALBUMARTIST,Bryan Adams,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000117,ALB-872F2639,CONTEMPORARY,/data/Music/CONTEMPORARY/Bryan Adams/Now 43,ADD_ALBUMARTIST,Bryan Adams,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000118,ALB-A4BBC9AA,CONTEMPORARY,/data/Music/CONTEMPORARY/Bryan Adams/Reckless,ADD_ALBUMARTIST,Bryan Adams,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000119,ALB-42282AE8,CONTEMPORARY,/data/Music/CONTEMPORARY/Buena Vista Social Club/BVSC,ADD_ALBUMARTIST,Buena Vista Social Club,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
