library,path,issue,value
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Unknown Album/._Girls Just Wanna Have Fun 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Unknown Album/._Girls Just Wanna Have Fun.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Unknown Album/._Time After Time 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Cyndi Lauper/Unknown Album/._Time After Time.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Destiny's Child/CD Single - Nasty Girl/._02 Nasty Girl (Maurice's Nu Soul Remix Radio Edit).mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Destiny's Child/Survivor/._Nasty Girl.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Elton John/Peachtree Road/._09 I Stop And I Breathe 2.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Elton John/Unknown Album/._08 Something About The Way You Look Tonight 2.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Elton John/Unknown Album/._18 Can You Feel The Love Tonight 2.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Elton John/Unknown Album/._64 Island Girl 2.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Eminem/Curtain Call_ The Hits [Disc 1]/._1-12 Mockingbird 2.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Enigma/Mcmxc A.D. [Bonus Disc] (1 Of 2)/._05 Voice and the Snake 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Enigma/Mcmxc A.D. [Bonus Disc] (1 Of 2)/._06 Knocking on Forbidden Doors 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Enigma/The Cross Of Changes/._01 Second Chapter 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Enigma/The Cross Of Changes/._05 Silent Warrior 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Enigma/The Cross Of Changes/._06 The Dream Of The Dolphin 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Enigma/The Cross Of Changes/._08 Out From The Deep 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/02 I'll Be Around/._02 The Way You Look Tonightt.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/02 I'll Be Around/._05 Speak Low.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/02 I'll Be Around/._06 Long Ago And Far Away.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/02 I'll Be Around/._07 Some Other Time.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,"/data/Music/CONTEMPORARY/Frank Sinatra/02 I'll Be Around/._08 Come Out, Come Out, Wherever Y.mp3",metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/02 I'll Be Around/._10 Let Me Love You Tonight.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/02 I'll Be Around/._11 Aren't You Glad You're You.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/02 I'll Be Around/._12 You Brought A New Kind Of Love.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/02 I'll Be Around/._15 Oh! What It Seemed To Be.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/02 I'll Be Around/._16 Over The Rainbow.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/02 I'll Be Around/._17 My Romance.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/02 I'll Be Around/._18 They Say It's Wonderful.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/02 I'll Be Around/._19 You Are Too Beautiful.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/05 Night And Day/._01 Blue Skies.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/05 Night And Day/._03 Sweet Lorraine.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/05 Night And Day/._04 Falling In Love With You.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/05 Night And Day/._05 There's No Business Like Show.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/05 Night And Day/._06 September Song.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/05 Night And Day/._07 I Believe.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/05 Night And Day/._08 Everybody Loves Somebody.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/05 Night And Day/._09 Why Was I Born.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/05 Night And Day/._11 Body And Soul.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/05 Night And Day/._13 Almost Like Being In Love.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/05 Night And Day/._17 The Nearness Of You.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/A Swingin' Affair!/._02 I Wish I Were In Love Again.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/A Swingin' Affair!/._03 I Got Plenty O' Nuttin'.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/A Swingin' Affair!/._04 I Guess I'll Have To Change My Plans.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/A Swingin' Affair!/._05 Nice Work If You Can Get It.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/A Swingin' Affair!/._06 Stars Fell On Alabama.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/A Swingin' Affair!/._07 No One Ever Tells You.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/A Swingin' Affair!/._08 I Won't Dance.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/A Swingin' Affair!/._09 Lonesome Road.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/A Swingin' Affair!/._10 At Long Last Love.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/A Swingin' Affair!/._11 You'd Be So Nice To Come Home To.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/A Swingin' Affair!/._12 I Got It Bad and That Ain't Good.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/A Swingin' Affair!/._13 From This Moment On.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/A Swingin' Affair!/._14 If I Had You.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/Blue Skies/._01 I'll Be Seeing You.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/Blue Skies/._02 The Sunshine Of Your Smile.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/Blue Skies/._03 Shake Down The Stars.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/Blue Skies/._04 East Of The Sun.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/Blue Skies/._05 Trade Winds.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/Blue Skies/._06 Our Love Affair.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/Blue Skies/._07 You And I.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/Blue Skies/._08 How About You_.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/Blue Skies/._09 You Might Have Belonged To Ano.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/Blue Skies/._10 Take Me.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/Blue Skies/._12 Daybreak.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/Blue Skies/._13 People Will Say.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/Blue Skies/._14 Without A Song.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Frank Sinatra/Blue Skies/._16 There Are Things.mp3,metadata_error,can't sync to MPEG frame
