library,path,issue,value
CLASSICAL,"/data/Music/CLASSICAL/Beethoven/The Five Piano Concertos/01 - Concerto No. 1 in C, Op. 15 I. Allegro con brio - Seiji Oza.mp3",missing_date,
CLASSICAL,"/data/Music/CLASSICAL/Beethoven/The Five Piano Concertos/02 - Concerto No. 1 in C, Op. 15 II. Largo - Seiji Ozawa.mp3",missing_date,
CLASSICAL,"/data/Music/CLASSICAL/Beethoven/The Five Piano Concertos/03 - Concerto No. 1 in C, Op. 15 III. Rondo Allegro scherzando .mp3",missing_date,
CLASSICAL,"/data/Music/CLASSICAL/Beethoven/The Five Piano Concertos/04 - Concerto No. 2 in B-flat, Op. 19 I. Allegro con brio - Seij.mp3",missing_date,
CLASSICAL,"/data/Music/CLASSICAL/Beethoven/The Five Piano Concertos/05 - Concerto No. 2 in B-flat, Op. 19 II. Adagio - Seiji Ozawa.mp3",missing_date,
CLASSICAL,"/data/Music/CLASSICAL/Beethoven/The Five Piano Concertos/06 - Concerto No. 2 in B-flat, Op. 19 III. Rondo Molto allegro .mp3",missing_date,
CLASSICAL,"/data/Music/CLASSICAL/Beethoven/The Five Piano Concertos/07 - Concerto No. 3 in C minor, Op. 37 I. Allegro con brio - Sei.mp3",missing_date,
CLASSICAL,"/data/Music/CLASSICAL/Beethoven/The Five Piano Concertos/08 - Concerto No. 3 in C minor, Op. 37 II. Largo - Seiji Ozawa.mp3",missing_date,
CLASSICAL,"/data/Music/CLASSICAL/Beethoven/The Five Piano Concertos/09 - Concerto No. 3 in C minor, Op. 37 III. Rondo Allegro - Sei.mp3",missing_date,
CLASSICAL,"/data/Music/CLASSICAL/Beethoven/The Five Piano Concertos/10 - Concerto No. 4 in G, Op. 58 I. Allegro moderato - Seiji Oza.mp3",missing_date,
CLASSICAL,"/data/Music/CLASSICAL/Beethoven/The Five Piano Concertos/11 - Concerto No. 4 in G, Op. 58 II. Andante con moto - Seiji Oz.mp3",missing_date,
CLASSICAL,"/data/Music/CLASSICAL/Beethoven/The Five Piano Concertos/12 - Concerto No. 4 in G, Op. 58 III. Rondo Vivace - Seiji Ozaw.mp3",missing_date,
CLASSICAL,"/data/Music/CLASSICAL/Beethoven/The Five Piano Concertos/13 - Concerto No. 5 in E-flat, Op. 73 Emperor I. Allegro - Sei.mp3",missing_date,
CLASSICAL,"/data/Music/CLASSICAL/Beethoven/The Five Piano Concertos/14 - Concerto No. 5 in E-flat, Op. 73 Emperor II. Adagio un po.mp3",missing_date,
CLASSICAL,"/data/Music/CLASSICAL/Beethoven/The Five Piano Concertos/15 - Concerto No. 5 in E-flat, Op. 73 Emperor III. Rondo Alle.mp3",missing_date,
