library,folder,tracks,artist_count,albumartist_count,album_count,date_count,formats
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Die Geschopfe des Prometheus,19,2,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Egmont Op. 84,13,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Fidelio,25,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Folksongs WoO 158 A B C,19,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Irish Songs WoO 152 & 153 selection & 154,34,2,2,2,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Leonore,40,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Missa Solemnis - Conclusion. Mass in C,12,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Beethoven - Complete/Missa Solemnis in D major Op 123 - Sir Colin Davis, L.S. Chorus & Orchestra",9,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Music for Wind Ensemble I  (Ottetto Italiano),46,1,1,1,2,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Orchestral Works - Organ Works,13,3,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Overtures,7,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Piano Concertos 1 & 3,6,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Piano Concertos 4 & 5,6,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Piano Concertos No. 2 & Op. 61,6,2,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Piano Quartets,8,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Beethoven - Complete/Piano Sonatas - Op. 10 No. 3, Op. 2 Nos. 2 & 3",12,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Beethoven - Complete/Piano Sonatas - Op. 14 No. 2, Op. 27 Nos. 1 & 2 'Moonlight', Op, 28 'Pastoral'",13,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Beethoven - Complete/Piano Sonatas - Op. 2 No. 1, Op. 79, Op. 10 Nos. 1 & 2, Op. 14 No. 1",16,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Beethoven - Complete/Piano Sonatas - Op. 31 No. 2 'Tempest', Op. 31 No. 3, Op. 53 'Waldstein', Op. 49 No. 1",12,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Beethoven - Complete/Piano Sonatas - Op. 7, Op. 49 No. 2",6,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Beethoven - Complete/Piano Sonatas - Op.101, 109, 110 & 90",11,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Piano Sonatas - Op.106 ''Hammerklavier'' & Op. 111,6,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Beethoven - Complete/Piano Sonatas - Op.13 'Pathetique', Op. 22, Op. 26 'Funeral March', Op. 78",13,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Beethoven - Complete/Piano Sonatas - Op.57 'Appassionata', Op. 54, Op. 81a 'Les Adieux', Op. 31 No. 1",11,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Piano Trios,29,2,1,1,2,flac
CLASSICAL,"/data/Music/CLASSICAL/Beethoven - Complete/Piano Variations - Alfred Brendel, piano",75,2,1,4,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Piano Works - Miscellaneous,44,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Piano Works 4-Hands Piano Duo,30,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Quintet Op16 Trio Op11 Horn Sonata Op17,9,3,3,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Beethoven - Complete/Ruins of Athens, King Stephan",17,2,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Septet Op20 & Sextet Op81b,9,2,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Serenade Op. 25; Works for Mandolin & Piano,13,4,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Songs I-IV,83,4,1,1,2,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/String Ensembles,24,3,2,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/String Quartets Op. 127 & 135 - Guarneri Quartet,8,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/String Quartets Op. 130 & Grosse Fuge Op. 133 - Guarneri Quartet,7,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/String Quartets Op. 132 & 59 No. 3 - Guarneri Quartet,9,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/String Quartets Op. 18 Nos. 1 & 2 - Sharon Quartet,8,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/String Quartets Op. 18 Nos. 3 & 4 - Sharon Quartet,8,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/String Quartets Op. 18 Nos. 5 & 6 - Op. 95 - Sharon Quartet,12,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/String Quartets Op. 59 Nos. 1 & 2 - Guarneri Quartet,8,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/String Quartets Op. 74 & 131 - Guarneri Quartet,11,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/String Trios - The Zurich String Trio,25,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Symphonies 1 & 3,8,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Symphonies 2 & 4,8,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Symphonies 5 & 6,9,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Symphonies 7 & 8,8,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Symphony No. 9,4,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Beethoven - Complete/Trio Op 38, Duo WoO40",7,2,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Beethoven - Complete/Triple Concerto, Piano Concerto WoO4, Rondo WoO6",7,3,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Violin Concerto - Romances,5,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Violin Sonatas,33,1,2,3,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Vocal Works (Miscellaneous),14,10,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven/Beethoven Favourites,3,1,1,1,3,mp3
CLASSICAL,/data/Music/CLASSICAL/Beethoven/Beethoven Piano Sonatas - Stephen Kovacevich,12,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven/Symphony #1 - 9 - Berliner Philharmoniker - Karajan,42,1,1,6,3,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven/Symphony #10 in E flat - LSO - Wyn Morris,1,1,1,1,0,mp3
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury,54,6,2,1,0,flac
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Five Piano Concertos,15,1,1,1,0,mp3
CLASSICAL,/data/Music/CLASSICAL/Beethoven/Violin Sonatas Nos. 5 'Spring' & 9 'Kreutzer',7,1,1,1,1,mp3
CLASSICAL,"/data/Music/CLASSICAL/Bellini • Wagner - Jane Eaglen, Orchestra of the Royal Opera House",7,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Boccherini Fandango, Sinfonie & La Musica No",1,1,1,1,1,mp3
CLASSICAL,/data/Music/CLASSICAL/Borodin - Polovtsian Dances,3,3,1,2,0,mp3
CLASSICAL,/data/Music/CLASSICAL/Brahms/Brahms,4,2,2,3,2,mp3
CLASSICAL,/data/Music/CLASSICAL/Brahms/Brahms Cello Sonatas,7,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Brahms/Brahms and Liszt - Complete Hungarian Dances,22,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Brahms/Bruch and Brahms Violin Concertos,6,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Britten - Young Person's Guide, Four Sea Interludes",17,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Choir Of The Russian Orthodox Cathedral, Paris - Russian Liturgical Chant",14,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Choir of The Russian Church of The Metropolitan of Paris,5,4,1,2,2,"flac,mp3,ogg"
CLASSICAL,/data/Music/CLASSICAL/Choir of The Russian Church of The Metropolitan of Paris/From Vinyl Record,1,1,1,1,0,flac
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs,2,2,2,2,2,mp3
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/20 Classical tracks,7,7,1,1,1,mp3
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Adagios - Herbert Von Karajan_ Berlin Philharmonic,11,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Bach - Mendelssohn - Schubert - Liszt,23,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Best of Classics,17,14,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Classic Masters,9,7,1,1,0,mp3
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Classic Weepies,11,9,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Classical Brit Awards 2004,24,22,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Classical Love,17,14,1,2,2,"flac,mp3"
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Classical Passion,6,6,1,1,1,mp3
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Die Moldau - André Previn - LA Philharmonic,4,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Essential Ballet,19,10,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Essential Classics,10,8,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Hungary on CD (Magyarország CD),14,4,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Karajan - Haydn Beethoven Brahms - Choral,62,1,1,4,3,flac
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Proms Classics,4,4,1,1,0,mp3
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Rimsky-Korsakov - Borodin,11,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Schumann Fantasie; Schubert Wanderer - Murray Perahia,4,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Summer Classics,13,12,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Summer Festival Classics,10,9,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Compilation CDs/Sunday Classics,10,8,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Compilation CDs/Warsaw Concerto - Addinsell, Rachmaninov, Gershwin, Shostakovich",7,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Debussy,1,1,1,1,1,mp3
CLASSICAL,/data/Music/CLASSICAL/Debussy/Debussy - Clair de Lune - François-Joel Thiollier,20,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Debussy/Debussy - Claire de Lune 2,20,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Debussy/Debussy - Claire de Lune, Klavierwerke - Weissenberg",17,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Dmitri Hvorostovsky & St. Petersburg Chamber Choir - Credo,13,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Dvorák/Dvořák - Sibelius - The Swan of Tuonela - London Symphony Orchestra, Sir Charles Mackerras",10,2,1,2,1,flac
CLASSICAL,/data/Music/CLASSICAL/Dvorák/Symphony No 9 New World - Slavonic Dances,8,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Dvorák/Yo-Yo Ma - The Dvorák Album - Humoresque No  7,1,1,1,1,1,mp3
CLASSICAL,"/data/Music/CLASSICAL/Elgar - Enigma Variations op. 36, Cockaigne Overture op. 40, Serenade for String Orchestra op. 20",20,1,0,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Fauré - The Best Of,16,11,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Fauré, David Willcocks, Sir Thomas Beecham, Jacqueline du Pré ‎– Pavane, Cantique De Jean Racine, Dolly Suite, Élégie",18,9,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Franco Corelli - The Unknown Recordings,11,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Fredrerick Delius,6,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Fritz Wunderlich - Grosse Stimmen,17,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Glasgow Orpheus Choir/All In The April Evening, 1925-49 - Noise Reduced",26,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Glasgow Orpheus Choir/All In the April Evening - Original - T01-T10 Only,26,1,1,1,1,"flac,m4a"
CLASSICAL,/data/Music/CLASSICAL/Glasgow Orpheus Choir/The Very Best Of The Glasgow Orpheus Choir,5,1,1,2,2,mp3
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey,17,1,1,1,0,flac
CLASSICAL,/data/Music/CLASSICAL/Great British Music - Britten - Delius - Elgar - Holst,20,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Great Opera Scenes - Renée Fleming - LSO, Georg Solti",7,3,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Grieg/Grieg and Liszt - Piano Concerto and Lyric Pieces - Piano Concerto No 1 in E Flat - Halle - Richard Farrell,16,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Grieg/Peer Gynt - Gothenburg Symphony Orchestra - Jarvi,21,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Grieg/Peer Gynt Suites Nos. 1 and 2 - Funeral March - Ole Kristian Ruud,2,1,1,1,1,mp3
CLASSICAL,/data/Music/CLASSICAL/Handel - Zadok the Priest,19,11,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Haydn/Haydn - Sym 88, 92, 94 - Sinfonia Concertante - Die Schopfung; Bernstein",58,7,1,4,4,flac
CLASSICAL,"/data/Music/CLASSICAL/Haydn/Haydn Quartets Op. 33 Nos 1, 2 & 4 - The Lindsays",12,1,1,1,0,mp3
CLASSICAL,/data/Music/CLASSICAL/Haydn/Haydn String Quartets Op 20,12,1,1,1,1,mp3
CLASSICAL,/data/Music/CLASSICAL/Haydn/Haydn Symphonies 88 - 92 - Sinfonia Concertante - BPO,24,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Haydn/Haydn The London Symphonies Nos. 93, 94, 97, 99, 100 & 101, Vol. 2",24,1,1,1,1,mp3
CLASSICAL,/data/Music/CLASSICAL/Haydn/Various,2,1,1,1,1,mp3
CLASSICAL,/data/Music/CLASSICAL/Heddle Nash - Serenade,21,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Henryk Górecki,3,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Holst - The Planets & Ravel - Balero - Orchestre National de France - Maazel,8,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Holst - The Planets - Egdon Heath,8,1,0,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Joshua Bell - Romance of the Violin,13,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Jussi Björling Collection, Vol. 2 - Songs in Swedish (1929-1937)",23,1,1,1,0,flac
CLASSICAL,/data/Music/CLASSICAL/Khachaturian,1,1,1,1,0,mp3
CLASSICAL,/data/Music/CLASSICAL/Korngold - Die Tote Stadt - Münchner Rundfunkorchester,17,2,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Liszt/Liszt - Études,12,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Liszt/Liszt's Greatest Hits,5,5,1,1,1,m4a
CLASSICAL,/data/Music/CLASSICAL/Liszt/Piano Concertos,6,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Mahler - Das Klagende Lied - Bournemouth Symphony Orchestra, Hickox",3,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Mahler - Symphonies No. 8 & 10 - Philharmonia Orchestra, Sinopoli",25,1,1,1,2,flac
CLASSICAL,/data/Music/CLASSICAL/Maria Callas - Portrait of a Legend,15,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Maria Callas - Special Collector's Edition,34,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Mason Williams - Classical Gas,1,1,1,1,1,mp3
CLASSICAL,/data/Music/CLASSICAL/Mendelssohn/Mendelssohn - Symphonien Nos 3 Schottische & 4 Italienische - LSO - Abbado,8,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Mendelssohn/Mendelssohn - Symphonies No. 3 & 4 - Karajan, Berlin Philharmonic",9,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Mendelssohn/Mendelssohn - Symphony No. 2, Lobgesang",14,4,1,1,1,mp3
