library,folder,tracks,artist_count,albumartist_count,album_count,date_count,candidate_reason,existing_albumartist_state,quality_score,flags
CLASSICAL,/data/Music/CLASSICAL/Tchaikovsky - Complete/Symphonies - 1812 Overture & Francesca Da Rimini &  Marche Slave,3,3,1,3,3,multiple_distinct_track_artists,single,73,multiple_artists;multiple_album_tags;multiple_dates
CLASSICAL,"/data/Music/CLASSICAL/Tchaikovsky - Complete/Symphonies No. 1 & 2 (Winter Dreams, Little Russian)",8,2,1,2,2,multiple_distinct_track_artists,single,73,multiple_artists;multiple_album_tags;multiple_dates
CLASSICAL,/data/Music/CLASSICAL/Tchaikovsky - Complete/Symphonies No. 3 & 4 (Polish),9,2,1,2,2,multiple_distinct_track_artists,single,73,multiple_artists;multiple_album_tags;multiple_dates
CLASSICAL,/data/Music/CLASSICAL/Tchaikovsky - Complete/Symphonies No. 5 & 6 (Pathétique) & Overture 'The Storm',9,2,1,2,1,multiple_distinct_track_artists,single,81,multiple_artists;multiple_album_tags
CLASSICAL,/data/Music/CLASSICAL/Tchaikovsky/Piano Concerto #1 - Violin Concerto,6,2,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Various Artists,4,4,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Vivaldi - Complete/Concertos Op. 7,36,2,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Vivaldi - Complete/Il Climento Op. 8,36,2,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Vivaldi - Complete/Mandolin Concertos and Cello Sonatas,18,2,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Vivaldi/Discover Vivaldi,26,13,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Vivaldi/Gloria & Bach Magnificat - Classic FM,27,7,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CONTEMPORARY,/data/Music/CONTEMPORARY/1960s Hits Of The Decades,15,15,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00,32,32,0,2,1,multiple_distinct_track_artists,missing,54,multiple_artists;missing_albumartist;multiple_album_tags
CONTEMPORARY,/data/Music/CONTEMPORARY/Air/Everybody Hertz,12,2,0,1,1,multiple_distinct_track_artists,missing,69,multiple_artists;missing_albumartist
CONTEMPORARY,/data/Music/CONTEMPORARY/Air/Unknown Album,7,2,1,0,1,multiple_distinct_track_artists,single,26,multiple_artists;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Alanis Morissette/Jagged Little Pill,2,2,1,1,1,multiple_distinct_track_artists,single,94,multiple_artists
CONTEMPORARY,/data/Music/CONTEMPORARY/Alanis Morissette/Unknown Album,7,3,0,0,2,multiple_distinct_track_artists,missing,6,multiple_artists;missing_albumartist;missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/American Classics,7,7,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CONTEMPORARY,/data/Music/CONTEMPORARY/Amy MacDonald/This Is The Life,11,2,1,1,1,multiple_distinct_track_artists,single,87,multiple_artists
CONTEMPORARY,/data/Music/CONTEMPORARY/Atlantic Soul Classics,16,16,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CONTEMPORARY,/data/Music/CONTEMPORARY/Aṣa/Beautiful Imperfection,13,2,1,1,2,multiple_distinct_track_artists,single,88,multiple_artists;multiple_dates
CONTEMPORARY,/data/Music/CONTEMPORARY/BB King/Unknown Album,3,2,0,0,1,multiple_distinct_track_artists,missing,21,multiple_artists;missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Beach House 04.05,22,22,0,2,4,multiple_distinct_track_artists,missing,46,multiple_artists;missing_albumartist;multiple_album_tags;multiple_dates
CONTEMPORARY,/data/Music/CONTEMPORARY/Beautiful Girls (Single),2,2,0,1,1,multiple_distinct_track_artists,missing,83,multiple_artists;missing_albumartist
CONTEMPORARY,/data/Music/CONTEMPORARY/Best of Bond - James Bond 40th Anniversary Edition,22,20,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
